"player","year","draft_era","team","overall_pick","pick_range","nationality","position","player_type","games_played","points","point_shares","career_tier"
"Griffin Reinhart",2012,"2010s","New York Islanders",4,"Top 10","CA","D","Skater",37,2,0.40,"Brief NHL Career"
"Pavel Brendl",1999,"1990s","New York Rangers",4,"Top 10","CZ","RW","Skater",78,22,2.30,"Brief NHL Career"
"Jason Bonsignore",1994,"1990s","Edmonton Oilers",4,"Top 10","United States","C","Skater",79,16,-0.40,"Brief NHL Career"
"Fred Williams",1976,"Pre-1980","Detroit Red Wings",4,"Top 10","CA","C","Skater",44,7,-0.70,"Brief NHL Career"
"Bowen Byram",2019,"2010s","Colorado Avalanche",4,"Top 10","CA","D","Skater",49,19,3.40,"Brief NHL Career"
"Kent Johnson",2021,"2020s","Columbus Blue Jackets",5,"Top 10","CA","C","Skater",9,3,0.20,"Brief NHL Career"
"Daniel Dore",1988,"1980s","Quebec Nordiques",5,"Top 10","CA","RW","Skater",17,5,-0.10,"Brief NHL Career"
"Alex Turcotte",2019,"2010s","Los Angeles Kings",5,"Top 10","United States","C","Skater",8,0,-0.10,"Brief NHL Career"
"Tom Martin",1964,"Pre-1980","Toronto Maple Leafs",5,"Top 10","CA","RW","Skater",3,1,0.10,"Brief NHL Career"
"Barrett Hayton",2018,"2010s","Arizona Coyotes",5,"Top 10","CA","C","Skater",94,31,1.90,"Brief NHL Career"
"Cam Connor",1974,"Pre-1980","Montreal Canadiens",5,"Top 10","CA","RW","Skater",89,31,0.80,"Brief NHL Career"
"Michael Dal Colle",2014,"2010s","New York Islanders",5,"Top 10","CA","LW","Skater",112,21,0.70,"Brief NHL Career"
"Bjorn Johansson",1976,"Pre-1980","California Golden Seals",5,"Top 10","SE","D","Skater",15,2,0.00,"Brief NHL Career"
"Mike Crombeen",1977,"Pre-1980","Cleveland Barons",5,"Top 10","CA","RW","Skater",475,123,-1.40,"Brief NHL Career"
"Mike Gillis",1978,"Pre-1980","Colorado Rockies",5,"Top 10","CA","LW","Skater",246,76,0.40,"Brief NHL Career"
"Stanislav Chistov",2001,"2000s","Anaheim Ducks",5,"Top 10","RU","LW","Skater",196,61,4.40,"Brief NHL Career"
"Olli Juolevi",2016,"2010s","Vancouver Canucks",5,"Top 10","FI","D","Skater",41,3,0.80,"Brief NHL Career"
"Scott Pearson",1988,"1980s","Toronto Maple Leafs",6,"Top 10","CA","LW","Skater",292,98,3.70,"Brief NHL Career"
"Scott Scissons",1990,"1990s","New York Islanders",6,"Top 10","CA","C","Skater",2,0,0.00,"Brief NHL Career"
