"player","year","draft_era","team","overall_pick","pick_range","nationality","position","player_type","games_played","points","point_shares","career_tier"
"Joe Reekie",1985,"1980s","Buffalo Sabres",119,"Round 4","CA","D","Skater",902,164,53.90,"Star"
"Cam Atkinson",2008,"2000s","Columbus Blue Jackets",157,"Round 5+","United States","RW","Skater",700,452,53.80,"Star"
"Thomas Steen",1979,"Pre-1980","Winnipeg Jets",103,"Round 4","SE","C","Skater",950,817,53.50,"Star"
"Donald Audette",1989,"1980s","Buffalo Sabres",183,"Round 5+","CA","RW","Skater",735,509,53.40,"Star"
"Martin Erat",1999,"1990s","Nashville Predators",191,"Round 5+","CZ","RW","Skater",881,545,52.60,"Star"
"Mattias Ekholm",2009,"2000s","Nashville Predators",102,"Round 4","SE","D","Skater",662,250,52.20,"Star"
"Paul MacLean",1978,"Pre-1980","St. Louis Blues",109,"Round 4","FR","RW","Skater",719,673,52.10,"Star"
"Johan Hedberg",1994,"1990s","Philadelphia Flyers",218,"Round 5+","SE","G","Goalie",373,10,51.60,"Star"
"Craig Conroy",1990,"1990s","Montreal Canadiens",123,"Round 4","United States","C","Skater",1009,542,51.30,"Star"
"Toby Enstrom",2003,"2000s","Atlanta Thrashers",239,"Round 5+","SE","D","Skater",719,308,50.90,"Star"
"Chris Mason",1995,"1990s","New Jersey Devils",122,"Round 4","CA","G","Goalie",317,4,50.40,"Star"
"Garth Snow",1987,"1980s","Quebec Nordiques",114,"Round 4","United States","G","Goalie",368,5,49.90,"Solid NHL Player"
"Kjell Samuelsson",1984,"1980s","New York Rangers",119,"Round 4","SE","D","Skater",813,186,49.20,"Solid NHL Player"
"Dennis Seidenberg",2001,"2000s","Philadelphia Flyers",172,"Round 5+","DE","D","Skater",859,251,49.10,"Solid NHL Player"
"Jason York",1990,"1990s","Detroit Red Wings",129,"Round 5+","CA","D","Skater",757,229,48.80,"Solid NHL Player"
"Dan McGillis",1992,"1990s","Detroit Red Wings",238,"Round 5+","CA","D","Skater",634,238,48.70,"Solid NHL Player"
"Reijo Ruotsalainen",1980,"1980s","New York Rangers",119,"Round 4","FI","D","Skater",446,344,48.30,"Solid NHL Player"
"Cristobal Huet",2001,"2000s","Los Angeles Kings",214,"Round 5+","FR","G","Goalie",272,3,48.20,"Solid NHL Player"
"Mike Hoffman",2009,"2000s","Ottawa Senators",130,"Round 5+","CA","C/LW","Skater",612,430,48.00,"Solid NHL Player"
"Roman Turek",1990,"1990s","Minnesota North Stars",113,"Round 4","CZ","G","Goalie",328,12,48.00,"Solid NHL Player"
"Hal Gill",1993,"1990s","Boston Bruins",207,"Round 5+","United States","D","Skater",1108,184,48.00,"Solid NHL Player"
"Valeri Kamensky",1988,"1980s","Quebec Nordiques",129,"Round 5+","RU","LW","Skater",637,501,47.70,"Solid NHL Player"
